2021-01-15 19:31:18 | add fc layer number: 6 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 13.578817973534266 0.5407098938437069 0.5387638807296753 0.753125 0.7823529 0.7844523191452026 0.31014621178555607 0.0 0.0 0.0 397030 300588 
1 0.5448603461186091 0.5303719078793245 0.5270125865936279 0.7885417 0.7823529 0.7844523191452026 0.6894845665337469 0.0 0.0 0.0 628922 157615 
2 0.6249897201855977 0.617622794824488 0.6169232130050659 0.734375 0.7823529 0.7844523191452026 0.29637424309555455 0.0 0.0 0.0 589932 195599 
3 0.5697795877854029 0.5237902799073387 0.5216085314750671 0.7885417 0.7823529 0.7844523191452026 0.6532269974892925 0.0 0.0 0.0 628922 164627 
4 0.5212439626455307 0.5157821774482727 0.5153380632400513 0.7885417 0.7823529 0.7844523191452026 0.7000443066016837 0.0 0.0 0.0 565945 184602 
5 0.5181998312473297 0.522645763088675 0.5220696330070496 0.7885417 0.7823529 0.7844523191452026 0.6934721606852754 0.0 0.0 0.0 655909 166628 
6 0.5056360840797425 0.5093680164393257 0.5113123655319214 0.7885417 0.7823529 0.7844523191452026 0.6646728695909023 0.0 0.0 0.0 654912 138621 
7 0.5103171130021413 0.5000175090397105 0.48608359694480896 0.7885417 0.7823529 0.7844523191452026 0.6687343080785704 0.0 0.0 0.0 728872 149649 
8 0.48772961596647896 0.5031873625867507 0.5035200715065002 0.7885417 0.7823529 0.7844523191452026 0.6646728695909023 0.0 0.0 0.0 681905 220597 
9 0.4636689414580663 0.6972843282362994 0.7233721017837524 0.7885417 0.60588235 0.5335689187049866 0.672204991877123 0.4358974358974359 0.8360655737704918 0.2947976878612717 612924 180621 
10 0.48091622193654376 0.4910803850959329 0.4959719479084015 0.78333336 0.7823529 0.7844523191452026 0.7111948013587357 0.0 0.0 0.0 632913 153619 
11 0.5254893084367116 0.523923933506012 0.5212147235870361 0.7885417 0.7823529 0.7844523191452026 0.49324324324324326 0.0 0.0 0.0 589931 190618 
12 0.5209444920221965 0.5321189578841714 0.5300669074058533 0.7885417 0.7823529 0.7844523191452026 0.5067567567567568 0.0 0.0 0.0 592920 146647 
